mix_id,audio_url,audio_length,audio_size,audio_sr,audio_source,num_tracks,all_ided,num_ided_tracks,dj_id
12p14fxt,https://youtu.be/4JHF1Z0ZT3k,3427.9689791667,106.4135255814,48000,youtube,23,True,23,tchami
26yqsdy9,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-226/,3600.1146485261,106.8417015076,44100,mixcloud,17,True,17,martingarrix
2cn5f1p1,https://soundcloud.com/mikewilliamsontrack/mike-williams-on-track-124,3454.4587755102,52.7116537094,44100,soundcloud,17,True,17,mikewilliams
1q78zds9,https://soundcloud.com/cartaofficial/carta-co-episode-155,3607.1750566893,55.0422496796,44100,soundcloud,16,True,16,carta
855qqxk,https://youtu.be/eBZjZ6eAzMw,3441.2153958333,103.4769716263,48000,youtube,17,True,17,hardwell
10trfs0t,https://soundcloud.com/axtone/axtone-approved-tom-ferry,3600.0,54.9326353073,44100,soundcloud,18,True,18,tomferry
1fsynv89,https://www.mixcloud.com/Chicane/chicane-presents-sunsets-vol-179/,3605.733877551,106.1934213638,44100,mixcloud,12,True,12,chicane
159w751,https://soundcloud.com/firebeatz/firebeatz-presents-firebeatz-fm-016,3601.4236734694,54.9541597366,44100,soundcloud,17,True,17,firebeatz
29rcckqk,https://youtu.be/jSYdKqlBPyY,3471.9353958333,107.6477251053,48000,youtube,18,True,18,hardwell
xxbgrj1,https://www.mixcloud.com/spinninsessions2/spinnin-sessions-185-armand-van-helden-guestmix/,3590.5480272109,104.7330141068,44100,mixcloud,15,True,15,armandvanhelden
mrr66dt,https://soundcloud.com/boundlessfm/ep037,3608.1893877551,55.0573968887,44100,soundcloud,17,True,17,roone
1ty9r909,https://soundcloud.com/spinninsessions/spinnin-sessions-334-artist-spotlight-garmiani,3600.5261451247,54.9406080246,44100,soundcloud,18,True,18,unknown
10rzfqb9,https://youtu.be/lsvjImEYh8w,3414.5356666667,104.0162172318,48000,youtube,18,True,18,hardwell
2vfh44lk,https://youtu.be/v5AcNrZgoB0,3638.2715416667,117.2434587479,48000,youtube,19,True,19,oliverheldens
tbu6j3k,https://youtu.be/sr0m3vBZ_z8,3353.4904166667,103.181096077,48000,youtube,15,True,15,hardwell
11qrc8f1,https://soundcloud.com/tempusradio/tempus-radio-episode-003,3616.4179591837,55.1829547882,44100,soundcloud,18,True,18,sagan
h18762k,https://soundcloud.com/mikewilliamsontrack/mike-williams-on-track-39,3344.8228571429,51.0387420654,44100,soundcloud,17,True,17,mikewilliams
rhrz8b1,https://youtu.be/gJ6coGKvCPY,3720.89975,118.3090867996,48000,youtube,17,True,17,oliverheldens
2bqtknl9,https://www.mixcloud.com/djbustr/busted-radio-005/,3676.7869387755,110.4962930679,44100,mixcloud,19,True,19,bustr
1zhzq8nt,https://soundcloud.com/igniterecordings/firebeatz-presents-ignite-radio-042,3641.9657142857,55.5727825165,44100,soundcloud,19,True,19,firebeatz
d8h7t19,https://soundcloud.com/igniterecordings/firebeatz-presents-ignite-radio-025,3634.3379591837,55.4563922882,44100,soundcloud,20,True,20,firebeatz
1hqlzk5t,https://youtu.be/gXnEvpPNGWw,3516.3667916667,107.6013536453,48000,youtube,19,True,19,hardwell
1frkmf91,https://www.mixcloud.com/UmmetOzcan/ummet-ozcan-presents-innerstate-ep-94/,3617.0652154195,107.5480222702,44100,mixcloud,17,True,17,ummetozcan
1p8z5htk,https://youtu.be/zYp7I1J6cPE,3466.8153958333,106.3059740067,48000,youtube,19,True,19,hardwell
4rur22k,https://soundcloud.com/ineedr3hab/r3hab-i-need-r3hab-170,3481.8660090703,53.1301803589,44100,soundcloud,17,True,17,r3hab
nnwztbt,https://youtu.be/lBOY6cSUjfE,3408.1269583333,104.3813295364,48000,youtube,18,True,18,hardwell
2pvs66qk,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-235/,3600.1146485261,106.4427146912,44100,mixcloud,19,True,19,martingarrix
13lj9mt1,https://soundcloud.com/popovmusic/interplay-radioshow-237-01-04-19,3621.7567573696,55.2646665573,44100,soundcloud,13,True,13,alexanderpopov
15fulzc1,https://www.mixcloud.com/AirFM/justice-live-glastonbury-festival-2017-25-june-2017/,4203.7405895692,120.2850131989,44100,mixcloud,14,True,14,justice
2rrzslnk,https://soundcloud.com/voolgarizm/voolgarhythm-podcast-episode-25-vrhythm25,3600.0653061224,54.933432579,44100,soundcloud,14,True,14,voolgarizm
14h1d9uk,https://soundcloud.com/novadoseradio/novadose173,3482.88,53.1453266144,44100,soundcloud,16,True,16,jainova
ku547n1,https://soundcloud.com/maxximizeonair/blasterjaxx-present-maxximize-on-air-145,3612.3428571429,55.1207733154,44100,soundcloud,15,True,15,blasterjaxx
10s3vp99,https://youtu.be/He5--Y8dyis,3574.74175,107.5570192337,48000,youtube,19,True,19,dondiablo
1txh3ux9,https://youtu.be/iOYfz3G7qWQ,3600.0166666667,109.7561616898,48000,youtube,18,True,18,sophiefrancis
